student_id,offering_id,grade,grade_update
5,1,G,2025-04-10
6,1,VG,2025-04-10
7,1,G,2025-04-10
8,1,VG,2025-04-10
9,1,IG,2025-04-10
10,1,G,2025-04-10
11,1,VG,2025-04-10
12,1,G,2025-04-10
13,1,IG,2025-04-10
14,1,IG,2025-04-10
15,1,VG,2025-04-10
16,1,G,2025-04-10
17,1,IG,2025-04-10
18,1,VG,2025-04-10
19,1,VG,2025-04-10
20,1,G,2025-04-10
21,1,VG,2025-04-10
22,1,VG,2025-04-10
23,1,G,2025-04-10
24,1,VG,2025-04-10
1,2,G,2025-04-10
2,2,VG,2025-04-10
3,2,G,2025-04-10
4,2,IG,2025-04-10
5,2,VG,2025-04-10
6,2,IG,2025-04-10
7,2,IG,2025-04-10
8,2,IG,2025-04-10
9,2,VG,2025-04-10
10,2,G,2025-04-10
1,3,G,2025-04-10
2,3,IG,2025-04-10
3,3,VG,2025-04-10
4,3,VG,2025-04-10
5,3,G,2025-04-10
6,3,VG,2025-04-10
7,3,VG,2025-04-10
8,3,G,2025-04-10
9,3,G,2025-04-10
10,3,IG,2025-04-10
1,4,IG,2025-04-10
2,4,VG,2025-04-10
3,4,IG,2025-04-10
4,4,G,2025-04-10
5,4,G,2025-04-10
6,4,VG,2025-04-10
7,4,G,2025-04-10
8,4,IG,2025-04-10
9,4,G,2025-04-10
10,4,VG,2025-04-10
11,5,IG,2025-04-10
12,5,IG,2025-04-10
13,5,IG,2025-04-10
14,5,VG,2025-04-10
15,5,IG,2025-04-10
16,5,VG,2025-04-10
17,5,G,2025-04-10
18,5,G,2025-04-10
19,5,VG,2025-04-10
20,5,IG,2025-04-10
11,6,VG,2025-04-10
12,6,IG,2025-04-10
13,6,VG,2025-04-10
14,6,G,2025-04-10
15,6,VG,2025-04-10
16,6,G,2025-04-10
17,6,VG,2025-04-10
18,6,G,2025-04-10
19,6,G,2025-04-10
20,6,G,2025-04-10
11,7,G,2025-04-10
12,7,IG,2025-04-10
13,7,IG,2025-04-10
14,7,G,2025-04-10
15,7,VG,2025-04-10
16,7,G,2025-04-10
17,7,G,2025-04-10
18,7,IG,2025-04-10
19,7,IG,2025-04-10
20,7,VG,2025-04-10
11,8,IG,2025-04-10
12,8,IG,2025-04-10
13,8,G,2025-04-10
14,8,G,2025-04-10
15,8,G,2025-04-10
16,8,IG,2025-04-10
17,8,VG,2025-04-10
18,8,G,2025-04-10
19,8,VG,2025-04-10
20,8,G,2025-04-10
11,9,G,2025-04-10
12,9,G,2025-04-10
13,9,VG,2025-04-10
14,9,VG,2025-04-10
15,9,VG,2025-04-10
16,9,G,2025-04-10
17,9,IG,2025-04-10
18,9,VG,2025-04-10
19,9,IG,2025-04-10
20,9,G,2025-04-10
1,10,IG,2025-04-10
2,10,VG,2025-04-10
3,10,IG,2025-04-10
4,10,G,2025-04-10
5,10,G,2025-04-10
6,10,VG,2025-04-10
7,10,G,2025-04-10
8,10,G,2025-04-10
9,10,IG,2025-04-10
10,10,VG,2025-04-10
1,11,G,2025-04-10
2,11,VG,2025-04-10
3,11,VG,2025-04-10
4,11,G,2025-04-10
5,11,IG,2025-04-10
6,11,G,2025-04-10
7,11,G,2025-04-10
8,11,IG,2025-04-10
9,11,IG,2025-04-10
10,11,VG,2025-04-10
1,12,IG,2025-04-10
2,12,IG,2025-04-10
3,12,VG,2025-04-10
4,12,VG,2025-04-10
5,12,VG,2025-04-10
6,12,VG,2025-04-10
7,12,VG,2025-04-10
8,12,VG,2025-04-10
9,12,VG,2025-04-10
10,12,IG,2025-04-10
11,13,IG,2025-04-10
12,13,G,2025-04-10
13,13,VG,2025-04-10
14,13,VG,2025-04-10
15,13,VG,2025-04-10
16,13,IG,2025-04-10
17,13,G,2025-04-10
18,13,G,2025-04-10
19,13,IG,2025-04-10
20,13,G,2025-04-10
11,14,G,2025-04-10
12,14,VG,2025-04-10
13,14,VG,2025-04-10
14,14,VG,2025-04-10
15,14,G,2025-04-10
16,14,G,2025-04-10
17,14,VG,2025-04-10
18,14,G,2025-04-10
19,14,G,2025-04-10
20,14,VG,2025-04-10
11,15,VG,2025-04-10
12,15,VG,2025-04-10
13,15,VG,2025-04-10
14,15,VG,2025-04-10
15,15,IG,2025-04-10
16,15,G,2025-04-10
17,15,IG,2025-04-10
18,15,G,2025-04-10
19,15,IG,2025-04-10
20,15,IG,2025-04-10
11,16,VG,2025-04-10
12,16,G,2025-04-10
13,16,VG,2025-04-10
14,16,VG,2025-04-10
15,16,G,2025-04-10
16,16,G,2025-04-10
17,16,G,2025-04-10
18,16,G,2025-04-10
19,16,IG,2025-04-10
20,16,IG,2025-04-10
31,17,IG,2025-04-10
32,17,G,2025-04-10
33,17,G,2025-04-10
34,17,IG,2025-04-10
35,17,IG,2025-04-10
36,17,IG,2025-04-10
37,17,G,2025-04-10
38,17,IG,2025-04-10
39,17,VG,2025-04-10
40,17,IG,2025-04-10
41,17,IG,2025-04-10
42,17,IG,2025-04-10
43,17,G,2025-04-10
44,17,G,2025-04-10
45,17,G,2025-04-10
46,17,VG,2025-04-10
47,17,G,2025-04-10
48,17,G,2025-04-10
49,17,VG,2025-04-10
50,17,IG,2025-04-10
1,18,G,2025-04-10
2,18,VG,2025-04-10
3,18,G,2025-04-10
4,18,G,2025-04-10
5,18,G,2025-04-10
6,18,IG,2025-04-10
7,18,VG,2025-04-10
8,18,IG,2025-04-10
9,18,VG,2025-04-10
10,18,VG,2025-04-10
1,19,VG,2025-04-10
2,19,G,2025-04-10
3,19,IG,2025-04-10
4,19,IG,2025-04-10
5,19,G,2025-04-10
6,19,IG,2025-04-10
7,19,VG,2025-04-10
8,19,G,2025-04-10
9,19,G,2025-04-10
10,19,G,2025-04-10
1,20,IG,2025-04-10
2,20,G,2025-04-10
3,20,G,2025-04-10
4,20,VG,2025-04-10
5,20,G,2025-04-10
6,20,VG,2025-04-10
7,20,G,2025-04-10
8,20,G,2025-04-10
9,20,VG,2025-04-10
10,20,G,2025-04-10
1,21,VG,2025-04-10
2,21,IG,2025-04-10
3,21,IG,2025-04-10
4,21,IG,2025-04-10
5,21,IG,2025-04-10
6,21,VG,2025-04-10
7,21,VG,2025-04-10
8,21,IG,2025-04-10
9,21,VG,2025-04-10
10,21,IG,2025-04-10
1,22,G,2025-04-10
2,22,IG,2025-04-10
3,22,IG,2025-04-10
4,22,G,2025-04-10
5,22,IG,2025-04-10
6,22,IG,2025-04-10
7,22,IG,2025-04-10
8,22,G,2025-04-10
9,22,VG,2025-04-10
10,22,VG,2025-04-10
11,23,IG,2025-04-10
12,23,IG,2025-04-10
13,23,IG,2025-04-10
14,23,IG,2025-04-10
15,23,G,2025-04-10
16,23,VG,2025-04-10
17,23,IG,2025-04-10
18,23,G,2025-04-10
19,23,IG,2025-04-10
20,23,IG,2025-04-10
11,24,IG,2025-04-10
12,24,IG,2025-04-10
13,24,G,2025-04-10
14,24,IG,2025-04-10
15,24,G,2025-04-10
16,24,VG,2025-04-10
17,24,VG,2025-04-10
18,24,G,2025-04-10
19,24,IG,2025-04-10
20,24,IG,2025-04-10
11,25,VG,2025-04-10
12,25,G,2025-04-10
13,25,G,2025-04-10
14,25,VG,2025-04-10
15,25,VG,2025-04-10
16,25,VG,2025-04-10
17,25,IG,2025-04-10
18,25,IG,2025-04-10
19,25,G,2025-04-10
20,25,VG,2025-04-10
21,26,G,2025-04-10
22,26,VG,2025-04-10
23,26,G,2025-04-10
24,26,IG,2025-04-10
25,26,VG,2025-04-10
26,26,IG,2025-04-10
27,26,G,2025-04-10
28,26,G,2025-04-10
29,26,VG,2025-04-10
30,26,VG,2025-04-10
21,27,VG,2025-04-10
22,27,IG,2025-04-10
23,27,IG,2025-04-10
24,27,G,2025-04-10
25,27,VG,2025-04-10
26,27,G,2025-04-10
27,27,G,2025-04-10
28,27,VG,2025-04-10
29,27,IG,2025-04-10
30,27,G,2025-04-10
21,28,IG,2025-04-10
22,28,VG,2025-04-10
23,28,VG,2025-04-10
24,28,G,2025-04-10
25,28,G,2025-04-10
26,28,VG,2025-04-10
27,28,G,2025-04-10
28,28,VG,2025-04-10
29,28,G,2025-04-10
30,28,VG,2025-04-10
31,29,IG,2025-04-10
32,29,VG,2025-04-10
33,29,VG,2025-04-10
34,29,VG,2025-04-10
35,29,G,2025-04-10
36,29,IG,2025-04-10
37,29,VG,2025-04-10
38,29,G,2025-04-10
39,29,IG,2025-04-10
40,29,VG,2025-04-10
31,30,VG,2025-04-10
32,30,VG,2025-04-10
33,30,G,2025-04-10
34,30,IG,2025-04-10
35,30,VG,2025-04-10
36,30,G,2025-04-10
37,30,IG,2025-04-10
38,30,IG,2025-04-10
39,30,VG,2025-04-10
40,30,IG,2025-04-10
31,31,G,2025-04-10
32,31,VG,2025-04-10
33,31,IG,2025-04-10
34,31,G,2025-04-10
35,31,VG,2025-04-10
36,31,IG,2025-04-10
37,31,G,2025-04-10
38,31,G,2025-04-10
39,31,VG,2025-04-10
40,31,IG,2025-04-10
31,32,G,2025-04-10
32,32,VG,2025-04-10
33,32,IG,2025-04-10
34,32,VG,2025-04-10
35,32,IG,2025-04-10
36,32,VG,2025-04-10
37,32,IG,2025-04-10
38,32,IG,2025-04-10
39,32,VG,2025-04-10
40,32,G,2025-04-10
31,33,VG,2025-04-10
32,33,VG,2025-04-10
33,33,G,2025-04-10
34,33,VG,2025-04-10
35,33,IG,2025-04-10
36,33,G,2025-04-10
37,33,IG,2025-04-10
38,33,VG,2025-04-10
39,33,VG,2025-04-10
40,33,IG,2025-04-10
41,34,VG,2025-04-10
42,34,IG,2025-04-10
43,34,IG,2025-04-10
44,34,VG,2025-04-10
45,34,G,2025-04-10
46,34,VG,2025-04-10
47,34,VG,2025-04-10
48,34,VG,2025-04-10
49,34,G,2025-04-10
50,34,G,2025-04-10
41,35,IG,2025-04-10
42,35,VG,2025-04-10
43,35,IG,2025-04-10
44,35,G,2025-04-10
45,35,IG,2025-04-10
46,35,IG,2025-04-10
47,35,IG,2025-04-10
48,35,VG,2025-04-10
49,35,IG,2025-04-10
50,35,G,2025-04-10
41,36,G,2025-04-10
42,36,IG,2025-04-10
43,36,G,2025-04-10
44,36,VG,2025-04-10
45,36,IG,2025-04-10
46,36,VG,2025-04-10
47,36,VG,2025-04-10
48,36,VG,2025-04-10
49,36,IG,2025-04-10
50,36,VG,2025-04-10
1,37,NOT SET,
2,37,NOT SET,
3,37,NOT SET,
4,37,NOT SET,
5,37,NOT SET,
6,37,NOT SET,
7,37,NOT SET,
8,37,NOT SET,
9,37,NOT SET,
10,37,NOT SET,
11,38,NOT SET,
12,38,NOT SET,
13,38,NOT SET,
14,38,NOT SET,
15,38,NOT SET,
16,38,NOT SET,
17,38,NOT SET,
18,38,NOT SET,
19,38,NOT SET,
20,38,NOT SET,
21,39,VG,2025-04-10
22,39,G,2025-04-10
23,39,VG,2025-04-10
24,39,IG,2025-04-10
25,39,VG,2025-04-10
26,39,G,2025-04-10
27,39,VG,2025-04-10
28,39,VG,2025-04-10
29,39,VG,2025-04-10
30,39,G,2025-04-10
21,40,IG,2025-04-10
22,40,IG,2025-04-10
23,40,IG,2025-04-10
24,40,G,2025-04-10
25,40,VG,2025-04-10
26,40,VG,2025-04-10
27,40,IG,2025-04-10
28,40,IG,2025-04-10
29,40,IG,2025-04-10
30,40,IG,2025-04-10
21,41,NOT SET,
22,41,NOT SET,
23,41,NOT SET,
24,41,NOT SET,
25,41,NOT SET,
26,41,NOT SET,
27,41,NOT SET,
28,41,NOT SET,
29,41,NOT SET,
30,41,NOT SET,
31,42,IG,2025-04-10
32,42,VG,2025-04-10
33,42,IG,2025-04-10
34,42,VG,2025-04-10
35,42,IG,2025-04-10
36,42,G,2025-04-10
37,42,G,2025-04-10
38,42,IG,2025-04-10
39,42,G,2025-04-10
40,42,IG,2025-04-10
31,43,G,2025-04-10
32,43,G,2025-04-10
33,43,G,2025-04-10
34,43,G,2025-04-10
35,43,G,2025-04-10
36,43,VG,2025-04-10
37,43,IG,2025-04-10
38,43,IG,2025-04-10
39,43,VG,2025-04-10
40,43,VG,2025-04-10
31,44,G,2025-04-10
32,44,IG,2025-04-10
33,44,IG,2025-04-10
34,44,G,2025-04-10
35,44,VG,2025-04-10
36,44,VG,2025-04-10
37,44,IG,2025-04-10
38,44,IG,2025-04-10
39,44,G,2025-04-10
40,44,VG,2025-04-10
31,45,NOT SET,
32,45,NOT SET,
33,45,NOT SET,
34,45,NOT SET,
35,45,NOT SET,
36,45,NOT SET,
37,45,NOT SET,
38,45,NOT SET,
39,45,NOT SET,
40,45,NOT SET,
41,46,IG,2025-04-10
42,46,G,2025-04-10
43,46,IG,2025-04-10
44,46,G,2025-04-10
45,46,IG,2025-04-10
46,46,VG,2025-04-10
47,46,VG,2025-04-10
48,46,IG,2025-04-10
49,46,IG,2025-04-10
50,46,VG,2025-04-10
41,47,VG,2025-04-10
42,47,IG,2025-04-10
43,47,G,2025-04-10
44,47,IG,2025-04-10
45,47,VG,2025-04-10
46,47,VG,2025-04-10
47,47,G,2025-04-10
48,47,G,2025-04-10
49,47,VG,2025-04-10
50,47,IG,2025-04-10
41,48,NOT SET,
42,48,NOT SET,
43,48,NOT SET,
44,48,NOT SET,
45,48,NOT SET,
46,48,NOT SET,
47,48,NOT SET,
48,48,NOT SET,
49,48,NOT SET,
50,48,NOT SET,
21,49,NOT SET,
22,49,NOT SET,
23,49,NOT SET,
24,49,NOT SET,
25,49,NOT SET,
26,49,NOT SET,
27,49,NOT SET,
28,49,NOT SET,
29,49,NOT SET,
30,49,NOT SET,
21,50,NOT SET,
22,50,NOT SET,
23,50,NOT SET,
24,50,NOT SET,
25,50,NOT SET,
26,50,NOT SET,
27,50,NOT SET,
28,50,NOT SET,
29,50,NOT SET,
30,50,NOT SET,
21,51,NOT SET,
22,51,NOT SET,
23,51,NOT SET,
24,51,NOT SET,
25,51,NOT SET,
26,51,NOT SET,
27,51,NOT SET,
28,51,NOT SET,
29,51,NOT SET,
30,51,NOT SET,
21,52,NOT SET,
22,52,NOT SET,
23,52,NOT SET,
24,52,NOT SET,
25,52,NOT SET,
26,52,NOT SET,
27,52,NOT SET,
28,52,NOT SET,
29,52,NOT SET,
30,52,NOT SET,
21,53,NOT SET,
22,53,NOT SET,
23,53,NOT SET,
24,53,NOT SET,
25,53,NOT SET,
26,53,NOT SET,
27,53,NOT SET,
28,53,NOT SET,
29,53,NOT SET,
30,53,NOT SET,